sample_ID;include atlas;model;larry;species;CellLine_ID;sex;strain;genotype group;morphology/ grading;treatment;enriched fraction;path;mouse_ID
IM293;yes;orthotopic;no;mouse;9591;male;C57Bl6/J ;PK;classical;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202205_Stefanie/IM293/outs/filtered_feature_bc_matrix.h5;IM293
SFW198;yes;orthotopic;no;mouse;8442_Cxcl5-KO;male;C57Bl6/J ;PK;classical;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202311/SID210982/outs/filtered_feature_bc_matrix.h5;SFW198
SFW200;yes;orthotopic;no;mouse;8442_Cxcl5-KO;male;C57Bl6/J ;PK;classical;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202311/SID210983/filtered_feature_bc_matrix.h5;SFW200
SFW195_CD45+;yes;orthotopic;no;mouse;8442_Cxcl5-KO;male;C57Bl6/J ;PK;classical;ctrl;CD45-pos (MACS);/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202311/SID210985/outs/filtered_feature_bc_matrix.h5;SFW195
SFW195_CD45-;yes;orthotopic;no;mouse;8442_Cxcl5-KO;male;C57Bl6/J ;PK;classical;ctrl;CD45-neg (MACS);/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202311/SID210986/outs/filtered_feature_bc_matrix.h5;SFW195
SFW190_CD45+;yes;orthotopic;no;mouse;9091_Csf1-KO;female;C57Bl6/J ;PK;mesenchymal;ctrl;CD45-pos (MACS);/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202311/SID210987/filtered_feature_bc_matrix.h5;SFW190
SFW190_CD45-;yes;orthotopic;no;mouse;9091_Csf1-KO;female;C57Bl6/J ;PK;mesenchymal;ctrl;CD45-neg (MACS);/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202311/SID210988/outs/filtered_feature_bc_matrix.h5;SFW190
IM298_GEX;yes;orthotopic;no;mouse;9091;female;C57Bl6/J ;PK;mesenchymal;ctrl;n/a;;IM298
A36-01;yes;orthotopic;yes;mouse;9091_pLARRY_pool clones;female;C57Bl6/J ;PK;mesenchymal;ctrl;CD45-pos (MACS);/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202310/SID212222/outs/filtered_feature_bc_matrix.h5;BC43
A36-02;yes;orthotopic;yes;mouse;9091_pLARRY_pool clones;female;C57Bl6/J ;PK;mesenchymal;ctrl;CD45-neg (MACS);/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202310/SID212223/outs/filtered_feature_bc_matrix.h5;BC43
